Trajectories
100
		platform:points1			platform:points2			platform:points3			platform:points4			platform:points5			platform:points6			platform:points7			platform:points8			platform:points9			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
74	0	80.4079	-39.3565	806.343	-337.364	-64.5762	805.945	-337.688	65.2402	824.097	77.3249	91.2062	786.013	72.9497	68.1928	694.295	-341.737	85.0523	735.859	-341.326	-43.8847	714.653	76.8188	-60.812	716.372	-143	10.8581	564.094
75	0	80.4089	-39.3496	806.345	-337.418	-64.436	805.87	-337.652	65.2015	824.141	77.3193	91.2217	786.017	72.9445	68.2027	694.291	-341.736	85.0573	735.867	-341.324	-43.8914	714.649	76.8261	-60.8133	716.378	-143	10.8596	564.098
76	0	80.4038	-39.3513	806.344	-337.357	-64.5801	805.954	-337.69	65.2381	824.105	77.3172	91.2127	786.014	72.945	68.2149	694.293	-341.734	85.0563	735.869	-341.327	-43.8889	714.661	76.8345	-60.7716	716.381	-142.996	10.8708	564.094
77	0	80.4078	-39.3347	806.342	-337.368	-64.5769	805.948	-337.695	65.2364	824.102	77.3168	91.2186	786.014	72.9399	68.2281	694.296	-341.749	85.0454	735.872	-341.323	-43.8997	714.657	76.85	-60.7286	716.374	-143.004	10.8653	564.094
78	0	80.4095	-39.3304	806.337	-337.421	-64.4434	805.872	-337.659	65.2024	824.142	77.3183	91.2255	786.012	72.9474	68.3422	694.366	-341.742	85.045	735.865	-341.333	-43.8881	714.654	76.8452	-60.7333	716.366	-143.008	10.8663	564.091
79	0	80.4033	-39.3598	806.335	-337.362	-64.5676	805.955	-337.684	65.242	824.112	77.3158	91.2168	786.01	72.9543	68.3402	694.369	-341.733	85.0658	735.88	-341.33	-43.8914	714.656	76.8439	-60.7373	716.364	-143.006	10.875	564.098
80	0	80.4114	-39.3607	806.337	-337.417	-64.445	805.874	-337.64	65.2082	824.152	77.3287	91.1955	786.011	72.9489	68.2105	694.289	-341.732	85.0622	735.883	-341.324	-43.8799	714.664	76.8626	-60.7132	716.362	-143.003	10.8793	564.099
81	0	80.4065	-39.3802	806.332	-337.422	-64.41	805.876	-337.647	65.2294	824.153	77.333	91.1858	786.008	72.9516	68.1909	694.289	-341.735	85.0776	735.894	-341.333	-43.8501	714.66	76.8336	-60.7395	716.352	-143.008	10.8888	564.095
82	0	80.3978	-39.3842	806.326	-337.44	-64.3995	805.872	-337.641	65.2471	824.151	77.3373	91.1777	786.011	72.95	68.1724	694.288	-341.737	85.0929	735.889	-341.349	-43.8232	714.653	76.5827	-61.4158	716.396	-143.011	10.8883	564.093
83	0	80.3922	-39.4099	806.325	-337.435	-64.3966	805.871	-337.637	65.2583	824.156	77.3434	91.1482	786.009	72.9659	68.2883	694.362	-341.718	85.1134	735.884	-341.337	-43.8333	714.66	76.7406	-60.9956	716.356	-143.009	10.8992	564.098
84	0	80.3893	-39.4519	806.325	-337.446	-64.3696	805.872	-337.629	65.2703	824.167	77.352	91.1166	786.012	72.9687	68.2734	694.369	-341.716	85.1463	735.895	-341.348	-43.7948	714.658	76.5605	-61.4773	716.382	-143.013	10.8999	564.091
85	0	80.3829	-39.4651	806.323	-337.454	-64.343	805.866	-337.622	65.2901	824.166	77.3613	91.0939	786.012	72.9777	68.244	694.36	-341.719	85.1292	735.905	-341.354	-43.7851	714.656	76.735	-61.0104	716.339	-143.011	10.9157	564.096
86	0	80.3835	-39.4897	806.315	-337.472	-64.3027	805.864	-337.612	65.3092	824.168	77.3763	91.0655	786.013	72.9767	68.1045	694.297	-341.7	85.1777	735.9	-341.366	-43.7606	714.651	76.7163	-61.0325	716.339	-143.019	10.9218	564.097
87	0	80.3685	-39.5189	806.318	-337.48	-64.2844	805.856	-337.613	65.3285	824.174	77.3757	91.0317	786.014	72.9823	68.0787	694.292	-341.692	85.2103	735.902	-341.376	-43.7141	714.647	76.5307	-61.534	716.37	-143.017	10.9215	564.095
88	0	80.3629	-39.5478	806.316	-337.493	-64.2635	805.858	-337.608	65.3503	824.177	77.3876	91.0187	786.019	72.9838	68.0645	694.298	-341.686	85.2334	735.901	-341.388	-43.6962	714.646	76.5194	-61.56	716.379	-143.019	10.9308	564.095
89	0	80.3601	-39.5931	806.312	-337.504	-64.2421	805.846	-337.594	65.3712	824.177	77.3913	90.988	786.024	72.9888	68.0206	694.294	-341.674	85.256	735.904	-341.385	-43.686	714.641	76.51	-61.5906	716.364	-143.014	10.9341	564.089
90	0	80.3533	-39.5985	806.304	-337.518	-64.2085	805.84	-337.589	65.3864	824.178	77.4004	90.9566	786.027	72.9968	68.0321	694.301	-341.664	85.2828	735.905	-341.397	-43.6469	714.634	76.5022	-61.6022	716.365	-143.017	10.9429	564.094
91	0	80.3505	-39.6237	806.303	-337.522	-64.1734	805.828	-337.583	65.3988	824.181	77.4083	90.9354	786.03	73.0041	67.9945	694.303	-341.662	85.29	735.911	-341.401	-43.6319	714.634	76.4953	-61.6297	716.364	-143.02	10.9479	564.094
92	0	80.3441	-39.6625	806.31	-337.532	-64.1655	805.826	-337.579	65.4233	824.185	77.4154	90.9144	786.032	73.0097	67.9778	694.31	-341.645	85.3279	735.91	-341.412	-43.6001	714.624	76.4928	-61.6465	716.363	-143.018	10.9497	564.095
93	0	80.3362	-39.6637	806.311	-337.544	-64.1472	805.83	-337.572	65.4308	824.188	77.4215	90.9007	786.032	73.0152	67.9667	694.313	-341.649	85.3118	735.905	-341.417	-43.5881	714.627	76.4858	-61.6597	716.361	-143.017	10.9443	564.096
94	0	80.3285	-39.6941	806.305	-337.554	-64.1177	805.822	-337.575	65.4502	824.189	77.425	90.8893	786.041	73.0162	67.9497	694.314	-341.642	85.3639	735.911	-341.425	-43.5573	714.629	76.4788	-61.6666	716.367	-143.018	10.9698	564.096
95	0	80.3247	-39.7077	806.304	-337.556	-64.1059	805.82	-337.571	65.467	824.187	77.4321	90.8794	786.042	73.0251	67.9445	694.313	-341.634	85.3864	735.91	-341.424	-43.5511	714.628	76.4801	-61.6734	716.36	-143.019	10.9641	564.094
96	0	80.3269	-39.7133	806.303	-337.564	-64.1073	805.82	-337.565	65.4609	824.193	77.436	90.8699	786.04	73.0275	67.9307	694.316	-341.627	85.3863	735.91	-341.431	-43.5456	714.628	76.475	-61.6932	716.361	-143.014	10.965	564.092
97	0	80.3235	-39.7291	806.307	-337.558	-64.092	805.818	-337.564	65.4785	824.189	77.4383	90.8794	786.043	73.0309	67.9208	694.312	-341.63	85.3708	735.904	-341.421	-43.5336	714.632	76.4737	-61.6874	716.358	-143.014	10.9627	564.092
